read_id	nh
ILLUMINA-075005_0053_FC:3:1:17348:1111#0	1
ILLUMINA-075005_0053_FC:3:1:18484:1117#0	1
ILLUMINA-075005_0053_FC:3:1:18707:1115#0	1
ILLUMINA-075005_0053_FC:3:1:18862:1106#0	1
ILLUMINA-075005_0053_FC:3:1:19674:1110#0	1
ILLUMINA-075005_0053_FC:3:1:1859:1126#0	1
ILLUMINA-075005_0053_FC:3:1:2394:1128#0	1
ILLUMINA-075005_0053_FC:3:1:2817:1128#0	1
ILLUMINA-075005_0053_FC:3:1:3232:1121#0	1
ILLUMINA-075005_0053_FC:3:1:3669:1128#0	1
ILLUMINA-075005_0053_FC:3:1:3687:1128#0	1
ILLUMINA-075005_0053_FC:3:1:4196:1126#0	1
ILLUMINA-075005_0053_FC:3:1:4347:1121#0	1
ILLUMINA-075005_0053_FC:3:1:4473:1128#0	1
ILLUMINA-075005_0053_FC:3:1:4505:1126#0	1
ILLUMINA-075005_0053_FC:3:1:4860:1125#0	1
ILLUMINA-075005_0053_FC:3:1:5188:1127#0	1
ILLUMINA-075005_0053_FC:3:1:6006:1128#0	1
ILLUMINA-075005_0053_FC:3:1:6101:1123#0	1
ILLUMINA-075005_0053_FC:3:1:6230:1126#0	1
ILLUMINA-075005_0053_FC:3:1:6253:1129#0	1
ILLUMINA-075005_0053_FC:3:1:6317:1122#0	1
ILLUMINA-075005_0053_FC:3:1:6488:1124#0	1
ILLUMINA-075005_0053_FC:3:1:7321:1120#0	1
ILLUMINA-075005_0053_FC:3:1:7549:1119#0	1
ILLUMINA-075005_0053_FC:3:1:7588:1120#0	1
ILLUMINA-075005_0053_FC:3:1:7756:1127#0	1
ILLUMINA-075005_0053_FC:3:1:8153:1120#0	1
ILLUMINA-075005_0053_FC:3:1:8184:1119#0	1
ILLUMINA-075005_0053_FC:3:1:8981:1126#0	1
ILLUMINA-075005_0053_FC:3:1:9848:1125#0	1
ILLUMINA-075005_0053_FC:3:1:10329:1129#0	1
ILLUMINA-075005_0053_FC:3:1:10354:1121#0	1
ILLUMINA-075005_0053_FC:3:1:10688:1127#0	1
ILLUMINA-075005_0053_FC:3:1:10774:1120#0	1
ILLUMINA-075005_0053_FC:3:1:10936:1120#0	1
ILLUMINA-075005_0053_FC:3:1:11003:1118#0	1
ILLUMINA-075005_0053_FC:3:1:11424:1118#0	1
ILLUMINA-075005_0053_FC:3:1:11648:1129#0	1
ILLUMINA-075005_0053_FC:3:1:11668:1125#0	1
ILLUMINA-075005_0053_FC:3:1:11769:1127#0	1
ILLUMINA-075005_0053_FC:3:1:11870:1124#0	2
ILLUMINA-075005_0053_FC:3:1:11916:1123#0	1
ILLUMINA-075005_0053_FC:3:1:12285:1122#0	1
ILLUMINA-075005_0053_FC:3:1:12345:1122#0	1
ILLUMINA-075005_0053_FC:3:1:12466:1119#0	1
ILLUMINA-075005_0053_FC:3:1:12629:1123#0	1
ILLUMINA-075005_0053_FC:3:1:13214:1122#0	1
ILLUMINA-075005_0053_FC:3:1:13235:1119#0	1
ILLUMINA-075005_0053_FC:3:1:14057:1118#0	1
ILLUMINA-075005_0053_FC:3:1:14322:1124#0	1
ILLUMINA-075005_0053_FC:3:1:14354:1118#0	1
ILLUMINA-075005_0053_FC:3:1:14548:1127#0	1
ILLUMINA-075005_0053_FC:3:1:14617:1118#0	1
ILLUMINA-075005_0053_FC:3:1:15021:1121#0	1
ILLUMINA-075005_0053_FC:3:1:15395:1124#0	1
ILLUMINA-075005_0053_FC:3:1:15811:1122#0	1
ILLUMINA-075005_0053_FC:3:1:16232:1124#0	1
ILLUMINA-075005_0053_FC:3:1:16270:1129#0	1
ILLUMINA-075005_0053_FC:3:1:16351:1121#0	1
ILLUMINA-075005_0053_FC:3:1:16388:1128#0	1
ILLUMINA-075005_0053_FC:3:1:16471:1127#0	1
ILLUMINA-075005_0053_FC:3:1:16510:1129#0	1
ILLUMINA-075005_0053_FC:3:1:16620:1129#0	1
ILLUMINA-075005_0053_FC:3:1:17261:1123#0	1
ILLUMINA-075005_0053_FC:3:1:17661:1127#0	1
ILLUMINA-075005_0053_FC:3:1:17838:1119#0	1
ILLUMINA-075005_0053_FC:3:1:17992:1122#0	1
ILLUMINA-075005_0053_FC:3:1:18107:1123#0	1
ILLUMINA-075005_0053_FC:3:1:18749:1128#0	1
ILLUMINA-075005_0053_FC:3:1:1494:1134#0	1
ILLUMINA-075005_0053_FC:3:1:2371:1130#0	1
ILLUMINA-075005_0053_FC:3:1:2580:1138#0	1
ILLUMINA-075005_0053_FC:3:1:2734:1134#0	1
ILLUMINA-075005_0053_FC:3:1:3259:1134#0	1
ILLUMINA-075005_0053_FC:3:1:3930:1134#0	1
ILLUMINA-075005_0053_FC:3:1:4219:1138#0	1
ILLUMINA-075005_0053_FC:3:1:4887:1132#0	1
ILLUMINA-075005_0053_FC:3:1:5581:1137#0	1
ILLUMINA-075005_0053_FC:3:1:5648:1135#0	1
ILLUMINA-075005_0053_FC:3:1:5678:1138#0	1
ILLUMINA-075005_0053_FC:3:1:5789:1133#0	1
ILLUMINA-075005_0053_FC:3:1:5891:1134#0	1
ILLUMINA-075005_0053_FC:3:1:6358:1130#0	1
ILLUMINA-075005_0053_FC:3:1:6507:1139#0	1
ILLUMINA-075005_0053_FC:3:1:7036:1133#0	1
ILLUMINA-075005_0053_FC:3:1:7583:1139#0	1
ILLUMINA-075005_0053_FC:3:1:7675:1130#0	1
ILLUMINA-075005_0053_FC:3:1:7866:1134#0	1
ILLUMINA-075005_0053_FC:3:1:7946:1132#0	1
ILLUMINA-075005_0053_FC:3:1:8115:1138#0	1
ILLUMINA-075005_0053_FC:3:1:8421:1140#0	1
ILLUMINA-075005_0053_FC:3:1:8927:1131#0	1
ILLUMINA-075005_0053_FC:3:1:8948:1137#0	1
ILLUMINA-075005_0053_FC:3:1:9138:1139#0	1
ILLUMINA-075005_0053_FC:3:1:9225:1132#0	1
ILLUMINA-075005_0053_FC:3:1:9320:1131#0	1
ILLUMINA-075005_0053_FC:3:1:10079:1130#0	1
ILLUMINA-075005_0053_FC:3:1:10138:1139#0	1
ILLUMINA-075005_0053_FC:3:1:10181:1137#0	1
ILLUMINA-075005_0053_FC:3:1:10254:1140#0	1
ILLUMINA-075005_0053_FC:3:1:10734:1139#0	1
ILLUMINA-075005_0053_FC:3:1:11153:1137#0	1
ILLUMINA-075005_0053_FC:3:1:11184:1132#0	1
ILLUMINA-075005_0053_FC:3:1:11597:1136#0	1
ILLUMINA-075005_0053_FC:3:1:11805:1131#0	1
ILLUMINA-075005_0053_FC:3:1:11901:1140#0	1
ILLUMINA-075005_0053_FC:3:1:12001:1134#0	1
ILLUMINA-075005_0053_FC:3:1:12880:1130#0	1
ILLUMINA-075005_0053_FC:3:1:12904:1139#0	1
ILLUMINA-075005_0053_FC:3:1:12925:1130#0	1
ILLUMINA-075005_0053_FC:3:1:12944:1137#0	1
ILLUMINA-075005_0053_FC:3:1:13002:1138#0	1
ILLUMINA-075005_0053_FC:3:1:13644:1133#0	1
ILLUMINA-075005_0053_FC:3:1:13848:1134#0	1
ILLUMINA-075005_0053_FC:3:1:14079:1135#0	1
ILLUMINA-075005_0053_FC:3:1:14367:1141#0	1
ILLUMINA-075005_0053_FC:3:1:14412:1139#0	1
ILLUMINA-075005_0053_FC:3:1:15116:1133#0	1
ILLUMINA-075005_0053_FC:3:1:15971:1134#0	1
ILLUMINA-075005_0053_FC:3:1:16492:1132#0	1
ILLUMINA-075005_0053_FC:3:1:16596:1130#0	1
ILLUMINA-075005_0053_FC:3:1:16709:1134#0	1
ILLUMINA-075005_0053_FC:3:1:16807:1131#0	1
ILLUMINA-075005_0053_FC:3:1:17307:1133#0	1
ILLUMINA-075005_0053_FC:3:1:17697:1132#0	1
ILLUMINA-075005_0053_FC:3:1:17904:1136#0	1
ILLUMINA-075005_0053_FC:3:1:18495:1134#0	1
ILLUMINA-075005_0053_FC:3:1:18664:1133#0	1
ILLUMINA-075005_0053_FC:3:1:18773:1137#0	1
ILLUMINA-075005_0053_FC:3:1:18817:1134#0	1
ILLUMINA-075005_0053_FC:3:1:18904:1135#0	1
ILLUMINA-075005_0053_FC:3:1:19451:1140#0	1
ILLUMINA-075005_0053_FC:3:1:19605:1139#0	1
ILLUMINA-075005_0053_FC:3:1:19770:1133#0	1
ILLUMINA-075005_0053_FC:3:1:1297:1141#0	1
ILLUMINA-075005_0053_FC:3:1:1657:1150#0	1
ILLUMINA-075005_0053_FC:3:1:1788:1151#0	1
ILLUMINA-075005_0053_FC:3:1:2411:1145#0	1
ILLUMINA-075005_0053_FC:3:1:2491:1142#0	1
ILLUMINA-075005_0053_FC:3:1:3464:1146#0	1
ILLUMINA-075005_0053_FC:3:1:3660:1153#0	1
ILLUMINA-075005_0053_FC:3:1:3762:1145#0	1
